TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,PC_30_HIGH,PC_30_LOW,PC_30_MID,ST_UPPER_30_7,ST_LOWER_30_7
SBER,20250103 10:00:00,279.99,280.41,279.2,279.54,241287,,,,,
SBER,20250103 10:05:00,279.54,279.56,278.11,278.4,228933,,,,,
SBER,20250103 10:10:00,278.53,279.21,278.14,278.4,101954,,,,,
SBER,20250103 10:15:00,278.42,279.01,278.3,278.31,61568,,,,,
SBER,20250103 10:20:00,278.32,278.44,277.77,277.8,117768,,,,,
SBER,20250103 10:25:00,277.8,277.81,276.53,276.89,206111,,,,,
SBER,20250103 10:30:00,276.89,277.62,276.76,277.47,68099,,,,,
SBER,20250103 10:35:00,277.45,277.73,277.34,277.48,43119,,,,,
SBER,20250103 10:40:00,277.5,277.5,276.6,276.87,79726,,,,,
SBER,20250103 10:45:00,276.87,276.87,275.65,276.07,105235,,,,,
SBER,20250103 10:50:00,276.0,276.14,275.2,275.52,124103,,,,,
SBER,20250103 10:55:00,275.52,276.0,275.52,275.8,41692,,,,,
SBER,20250103 11:00:00,275.8,275.8,275.11,275.11,75181,,,,,
SBER,20250103 11:05:00,275.11,275.2,274.63,274.68,91728,,,,,
SBER,20250103 11:10:00,274.69,275.08,274.5,275.02,62811,,,,,
SBER,20250103 11:15:00,275.02,275.32,274.9,275.15,51931,,,,,
SBER,20250103 11:20:00,275.15,275.46,274.97,275.27,78145,,,,,
SBER,20250103 11:25:00,275.27,275.28,274.92,275.22,23694,,,,,
SBER,20250103 11:30:00,275.22,275.22,274.3,274.9,49372,,,,,
SBER,20250103 11:35:00,274.96,275.75,274.94,275.75,40979,,,,,
SBER,20250103 11:40:00,275.75,275.82,275.38,275.4,37278,,,,,
SBER,20250103 11:45:00,275.39,275.75,274.85,275.59,49879,,,,,
SBER,20250103 11:50:00,275.55,275.62,275.1,275.38,13859,,,,,
SBER,20250103 11:55:00,275.39,275.47,274.85,275.13,16011,,,,,
SBER,20250103 12:00:00,275.11,275.29,274.38,274.38,41093,,,,,
SBER,20250103 12:05:00,274.41,274.92,274.31,274.46,25639,,,,,
SBER,20250103 12:10:00,274.46,274.81,274.31,274.61,19761,,,,,
SBER,20250103 12:15:00,274.61,274.92,274.6,274.8,19692,,,,,
SBER,20250103 12:20:00,274.8,274.93,274.7,274.71,13775,,,,,
SBER,20250103 12:25:00,274.71,274.72,273.88,273.91,76872,280.41,273.88,277.14,,
SBER,20250103 12:30:00,273.9,274.36,273.71,273.88,77587,279.56,273.71,276.64,279.026,
SBER,20250103 12:35:00,273.94,274.33,273.89,274.01,93269,279.21,273.71,276.46,279.026,
SBER,20250103 12:40:00,274.02,274.04,273.36,273.42,122004,279.01,273.36,276.18,278.624,
SBER,20250103 12:45:00,273.43,273.95,273.38,273.64,22877,278.44,273.36,275.9,278.558,
SBER,20250103 12:50:00,273.65,274.38,273.04,274.36,83699,277.81,273.04,275.42,278.558,
SBER,20250103 12:55:00,274.37,274.42,273.84,273.88,18845,277.73,273.04,275.38,278.558,
SBER,20250103 13:00:00,273.88,273.97,273.53,273.65,23697,277.73,273.04,275.38,278.558,
SBER,20250103 13:05:00,273.7,273.78,273.31,273.31,34417,277.5,273.04,275.27,278.435,
SBER,20250103 13:10:00,273.31,273.98,273.31,273.88,19560,276.87,273.04,274.96,278.435,
SBER,20250103 13:15:00,273.88,274.0,273.83,273.99,24556,276.14,273.04,274.59,278.435,
SBER,20250103 13:20:00,273.98,274.2,273.85,274.11,13496,276.0,273.04,274.52,278.435,
SBER,20250103 13:25:00,274.13,274.2,273.99,273.99,11458,275.82,273.04,274.43,278.435,
SBER,20250103 13:30:00,273.99,274.0,273.57,273.86,13175,275.82,273.04,274.43,278.309,
SBER,20250103 13:35:00,273.86,274.23,273.79,274.19,26377,275.82,273.04,274.43,278.309,
SBER,20250103 13:40:00,274.18,274.32,274.12,274.32,16557,275.82,273.04,274.43,278.309,
SBER,20250103 13:45:00,274.31,274.32,273.75,273.99,38509,275.82,273.04,274.43,278.309,
SBER,20250103 13:50:00,273.99,274.21,273.67,273.86,36163,275.82,273.04,274.43,278.281,
SBER,20250103 13:55:00,273.84,273.95,273.67,273.91,10062,275.82,273.04,274.43,278.072,
SBER,20250103 14:00:00,273.91,274.0,273.87,273.94,3643,275.82,273.04,274.43,278.072,
SBER,20250103 14:05:00,273.94,273.94,273.01,273.1,48994,275.82,273.01,274.41,277.704,
SBER,20250103 14:10:00,273.1,273.1,272.2,272.34,107464,275.75,272.2,273.98,276.948,
SBER,20250103 14:15:00,272.34,272.74,272.05,272.57,53657,275.62,272.05,273.84,276.711,
SBER,20250103 14:20:00,272.52,272.57,272.42,272.5,24844,275.47,272.05,273.76,276.702,
SBER,20250103 14:25:00,272.46,272.93,272.45,272.57,43689,275.29,272.05,273.67,276.702,
SBER,20250103 14:30:00,272.54,272.61,272.46,272.46,20427,274.93,272.05,273.49,276.609,
SBER,20250103 14:35:00,272.46,272.47,271.8,272.47,83886,274.93,271.8,273.36,276.23,
SBER,20250103 14:40:00,272.48,273.29,272.42,273.29,48245,274.93,271.8,273.36,276.23,
SBER,20250103 14:45:00,273.29,273.32,272.94,273.17,21209,274.93,271.8,273.36,276.23,
SBER,20250103 14:50:00,273.16,273.24,272.92,272.99,15786,274.72,271.8,273.26,276.23,
SBER,20250103 14:55:00,272.99,273.14,272.9,272.92,17221,274.42,271.8,273.11,276.23,
SBER,20250103 15:00:00,272.92,273.29,272.48,273.26,26986,274.42,271.8,273.11,276.23,
SBER,20250103 15:05:00,273.26,273.29,272.99,273.25,12391,274.42,271.8,273.11,276.23,
SBER,20250103 15:10:00,273.27,273.7,273.24,273.54,39197,274.42,271.8,273.11,276.23,
SBER,20250103 15:15:00,273.59,273.65,273.41,273.52,13900,274.42,271.8,273.11,276.23,
SBER,20250103 15:20:00,273.51,273.51,273.1,273.39,20749,274.42,271.8,273.11,276.23,
SBER,20250103 15:25:00,273.38,273.46,273.21,273.29,6344,274.32,271.8,273.06,276.23,
SBER,20250103 15:30:00,273.31,273.47,272.92,273.02,18064,274.32,271.8,273.06,276.23,
SBER,20250103 15:35:00,273.02,273.25,272.92,273.13,6049,274.32,271.8,273.06,276.23,
SBER,20250103 15:40:00,273.12,273.35,273.07,273.35,2164,274.32,271.8,273.06,276.23,
SBER,20250103 15:45:00,273.36,273.44,273.01,273.13,7448,274.32,271.8,273.06,276.23,
SBER,20250103 15:50:00,273.08,273.39,272.99,273.12,15855,274.32,271.8,273.06,276.23,
SBER,20250103 15:55:00,273.12,273.19,272.99,273.03,3548,274.32,271.8,273.06,276.23,
SBER,20250103 16:00:00,273.06,273.06,272.43,272.83,19423,274.32,271.8,273.06,276.23,
SBER,20250103 16:05:00,272.8,272.87,272.58,272.66,5693,274.32,271.8,273.06,276.23,
SBER,20250103 16:10:00,272.67,272.78,272.67,272.73,1611,274.32,271.8,273.06,276.149,
SBER,20250103 16:15:00,272.71,273.09,272.67,273.06,10459,274.21,271.8,273.0,276.149,
SBER,20250103 16:20:00,273.07,273.08,272.82,272.93,4266,274.0,271.8,272.9,276.149,
SBER,20250103 16:25:00,272.89,273.1,272.88,272.98,8136,274.0,271.8,272.9,276.149,
SBER,20250103 16:30:00,272.98,273.02,272.74,272.76,2866,273.94,271.8,272.87,276.13,
SBER,20250103 16:35:00,272.75,272.84,272.71,272.73,6740,273.7,271.8,272.75,275.947,
SBER,20250103 16:40:00,272.74,272.89,272.7,272.78,4470,273.7,271.8,272.75,275.905,
SBER,20250103 16:45:00,272.78,272.81,272.53,272.62,13275,273.7,271.8,272.75,275.742,
SBER,20250103 16:50:00,272.6,272.85,272.58,272.85,12578,273.7,271.8,272.75,275.742,
SBER,20250103 16:55:00,272.85,273.03,272.78,272.96,10071,273.7,271.8,272.75,275.742,
SBER,20250103 17:00:00,272.95,273.25,272.95,273.17,16034,273.7,271.8,272.75,275.742,
SBER,20250103 17:05:00,273.19,273.55,273.15,273.55,31992,273.7,272.42,273.06,275.742,
SBER,20250103 17:10:00,273.55,273.87,273.55,273.85,25938,273.87,272.43,273.15,275.742,
SBER,20250103 17:15:00,273.85,273.93,273.8,273.92,16022,273.93,272.43,273.18,275.742,
SBER,20250103 17:20:00,273.91,273.92,273.35,273.41,22197,273.93,272.43,273.18,275.742,
SBER,20250103 17:25:00,273.45,273.74,273.42,273.71,2241,273.93,272.43,273.18,275.742,
SBER,20250103 17:30:00,273.71,273.99,273.67,273.99,15468,273.99,272.43,273.21,275.742,
SBER,20250103 17:35:00,273.99,274.27,273.98,274.17,21165,274.27,272.43,273.35,275.742,
SBER,20250103 17:40:00,274.14,274.33,273.97,273.98,38528,274.33,272.43,273.38,275.742,
SBER,20250103 17:45:00,273.98,274.04,273.71,273.93,12667,274.33,272.43,273.38,275.742,
SBER,20250103 17:50:00,273.95,273.98,273.76,273.86,7114,274.33,272.43,273.38,275.742,
SBER,20250103 17:55:00,273.85,273.87,273.56,273.56,15108,274.33,272.43,273.38,275.742,
SBER,20250103 18:00:00,273.57,273.58,273.23,273.44,12236,274.33,272.43,273.38,275.742,
SBER,20250103 18:05:00,273.44,273.67,273.44,273.45,3211,274.33,272.43,273.38,275.742,
SBER,20250103 18:10:00,273.45,273.47,273.16,273.17,5768,274.33,272.43,273.38,275.742,
